Codigo,Descripcion,Precio Costo,Precio Venta,Precio Mayoreo,Inventario,Inv. Minimo,Departamento,keyword
7501032395292,Yoghurt Fresa Danone,$0.00,$3.50,$0.00,0,0,Danone,Yoghurt Fresa Danone
7501020538311,Yoghurt Lala De Fresa,$0.00,$6.50,$0.00,0,0,lala,Yoghurt Lala De Fresa
7501055901135,Yoghurt Mango 150g,$3.50,$5.00,$0.00,0,0,Alpura,Yoghurt Mango 150g
7501055901418,Yoghurt Piña Coco 150g,$3.50,$5.00,$0.00,0,0,Tienda,Yoghurt Piña Coco 150g
7501055901159,Yoghurt Zarzamora 150g,$3.50,$5.00,$0.00,1,0,Alpura,Yoghurt Zarzamora 150g
7501032332440,Yogurt Batidofresa,$3.00,$3.50,$0.00,1,0,Danone,Yogurt Batidofresa
7501032395308,Yogurt Danone Manzana,$3.00,$3.50,$0.00,6,0,Danone,Yogurt Danone Manzana
7501055909278,Yogurt Fresa,$4.00,$5.00,$0.00,0,0,Alpura,Yogurt Fresa
7501055901180,Yogurt Natural,$0.00,$5.00,$0.00,0,0,Alpura,Yogurt Natural
7501040090042,Yogurt Yoplait Dur 156g,$0.00,$4.00,$0.00,0,0,Tienda,Yogurt Yoplait Dur 156g
7501032332464,Yogut Batido Durazno,$3.00,$3.50,$0.00,1,0,Tienda,Yogut Batido Durazno
7501055329915,Yoli 600 Ml,$0.00,$9.00,$0.00,0,0,Refresco,Yoli 600 Ml
7501040093456,Yoplait Browny,$0.00,$7.00,$0.00,0,0,Alpura,Yoplait Browny
7501040093289,Yoplait Griego,$0.00,$7.00,$0.00,0,0,Tienda,Yoplait Griego
7501040092855,Yoplait Griego Fresa,$0.00,$9.00,$0.00,0,0,Tienda,Yoplait Griego Fresa
